VOCAB_SIZE,WIN_SIZE,WIN_HOP,avg_accuracy
5000.0,50.0,100.0,17.150000000000002
5000.0,50.0,200.0,16.733333333333334
5000.0,50.0,2000.0,16.266666666666666
5000.0,500.0,100.0,17.85
5000.0,500.0,200.0,17.816666666666666
5000.0,500.0,2000.0,17.400000000000002
5000.0,1000.0,100.0,17.816666666666666
5000.0,1000.0,200.0,18.366666666666667
5000.0,1000.0,2000.0,17.200000000000003
10000.0,50.0,100.0,16.28333333333333
10000.0,50.0,200.0,18.183333333333334
10000.0,50.0,2000.0,16.666666666666664
10000.0,500.0,100.0,17.716666666666665
10000.0,500.0,200.0,17.48333333333333
10000.0,500.0,2000.0,16.666666666666664
10000.0,1000.0,100.0,15.28333333333333
10000.0,1000.0,200.0,21.133333333333333
10000.0,1000.0,2000.0,16.666666666666664
20000.0,50.0,100.0,16.433333333333334
20000.0,50.0,200.0,18.116666666666667
20000.0,50.0,2000.0,17.333333333333336
20000.0,500.0,100.0,18.15
20000.0,500.0,200.0,18.183333333333334
20000.0,500.0,2000.0,17.233333333333334
20000.0,1000.0,100.0,18.233333333333334
20000.0,1000.0,200.0,20.633333333333336
20000.0,1000.0,2000.0,16.833333333333332
40000.0,50.0,100.0,17.75
40000.0,50.0,200.0,17.700000000000003
40000.0,50.0,2000.0,17.883333333333333
40000.0,500.0,100.0,16.866666666666667
40000.0,500.0,200.0,18.816666666666666
40000.0,500.0,2000.0,16.666666666666664
40000.0,1000.0,100.0,15.733333333333336
40000.0,1000.0,200.0,20.566666666666666
40000.0,1000.0,2000.0,18.866666666666667
